fatality_count,Month,Year,event_date,Landslide_Amt,Fatality count,Landslide Count,,Month_Names,Months,Landslides per month,Death per month,,Years,Landslides per year
0,1,2010,1/18/2010,530,,,,,,,,,,
0,12,2010,12/12/2010,531,,,,,,,,,,
0,1,2010,1/13/2010,532,,,,,,,,,,
0,10,2010,10/4/2010,533,,,,,,,,,,
0,1,2010,1/21/2010,534,,,,,,,,,,
0,1,2010,1/20/2010,535,,,,,,,,,,
0,5,2010,5/10/2010,536,,,,,,,,,,
0,4,2010,4/7/2010,537,,,,,,,,,,
0,5,2010,5/3/2010,538,,,,,,,,,,
0,9,2010,9/28/2010,539,,,,,,,,,,
0,12,2010,12/9/2010,540,,,,,,,,,,
0,12,2010,12/11/2010,541,,,,,,,,,,
0,1,2010,1/22/2010,542,,,,,,,,,,
,1,2010,1/11/2010,543,,,,,,,,,,
0,3,2010,3/25/2010,544,,,,,,,,,,
0,12,2010,12/12/2010,545,,,,,,,,,,
1,10,2010,10/6/2010,546,,,,,,,,,,
0,7,2010,7/23/2010,547,,,,,,,,,,
0,5,2010,5/23/2010,548,,,,,,,,,,
0,12,2010,12/19/2010,549,,,,,,,,,,
0,11,2010,11/17/2010,550,,,,,,,,,,
0,3,2010,3/14/2010,551,,,,,,,,,,
0,4,2010,4/13/2010,552,,,,,,,,,,
0,8,2010,8/19/2010,553,,,,,,,,,,
0,5,2010,5/3/2010,554,,,,,,,,,,
0,5,2010,5/3/2010,555,,,,,,,,,,
0,6,2010,6/5/2010,556,,,,,,,,,,
0,11,2010,11/30/2010,557,,,,,,,,,,
0,1,2010,1/14/2010,558,,,,,,,,,,
0,5,2010,5/2/2010,559,,,,,,,,,,
0,12,2010,12/12/2010,560,,,,,,,,,,
0,12,2010,12/22/2010,561,,,,,,,,,,
0,12,2010,12/13/2010,562,,,,,,,,,,
0,1,2010,1/26/2010,563,,,,,,,,,,
0,6,2010,6/5/2010,564,,,,,,,,,,
0,8,2010,8/10/2010,565,,,,,,,,,,
0,12,2010,12/22/2010,566,,,,,,,,,,
0,12,2010,12/22/2010,567,,,,,,,,,,
0,3,2010,3/15/2010,568,,,,,,,,,,
0,3,2010,3/30/2010,569,,,,,,,,,,
0,6,2010,6/28/2010,570,,,,,,,,,,
0,2,2010,2/6/2010,571,,,,,,,,,,
0,12,2010,12/12/2010,572,,,,,,,,,,
0,8,2010,8/1/2010,573,,,,,,,,,,
0,12,2010,12/21/2010,574,,,,,,,,,,
0,12,2010,12/28/2010,575,,,,,,,,,,
0,2,2010,2/6/2010,576,,,,,,,,,,
0,3,2010,3/16/2010,577,,,,,,,,,,
0,6,2010,6/28/2010,578,,,,,,,,,,
0,12,2010,12/19/2010,579,,,,,,,,,,
0,5,2011,5/27/2011,580,,,,,,,,,,
0,1,2011,1/6/2011,581,,,,,,,,,,
0,2,2011,2/19/2011,582,,,,,,,,,,
0,5,2011,5/15/2011,583,,,,,,,,,,
0,1,2011,1/16/2011,584,,,,,,,,,,
0,3,2011,3/21/2011,585,,,,,,,,,,
0,3,2011,3/1/2011,586,,,,,,,,,,
0,3,2011,3/10/2011,587,,,,,,,,,,
0,1,2011,1/14/2011,588,,,,,,,,,,
0,4,2011,4/25/2011,589,,,,,,,,,,
0,12,2011,12/25/2011,590,,,,,,,,,,
0,7,2011,7/21/2011,591,,,,,,,,,,
0,8,2011,8/3/2011,592,,,,,,,,,,
0,11,2011,11/23/2011,593,,,,,,,,,,
0,2,2011,2/18/2011,594,,,,,,,,,,
0,4,2011,4/25/2011,595,,,,,,,,,,
0,3,2011,3/25/2011,596,,,,,,,,,,
0,7,2011,7/30/2011,597,,,,,,,,,,
0,1,2011,1/16/2011,598,,,,,,,,,,
0,4,2011,4/6/2011,599,,,,,,,,,,
0,3,2011,3/25/2011,600,,,,,,,,,,
0,1,2011,1/17/2011,601,,,,,,,,,,
0,3,2011,3/8/2011,602,,,,,,,,,,
0,1,2011,1/16/2011,603,,,,,,,,,,
0,5,2011,5/3/2011,604,,,,,,,,,,
0,1,2011,1/16/2011,605,,,,,,,,,,
0,3,2011,3/6/2011,606,,,,,,,,,,
0,3,2011,3/31/2011,607,,,,,,,,,,
0,4,2011,4/7/2011,608,,,,,,,,,,
0,2,2011,2/25/2011,609,,,,,,,,,,
0,3,2011,3/1/2011,610,,,,,,,,,,
0,4,2011,4/19/2011,611,,,,,,,,,,
0,2,2011,2/21/2011,612,,,,,,,,,,
0,3,2011,3/30/2011,613,,,,,,,,,,
0,1,2011,1/10/2011,614,,,,,,,,,,
,6,2011,6/12/2011,615,,,,,,,,,,
0,3,2011,3/12/2011,616,,,,,,,,,,
0,1,2011,1/13/2011,617,,,,,,,,,,
0,3,2011,3/8/2011,618,,,,,,,,,,
0,3,2011,3/27/2011,619,,,,,,,,,,
0,1,2011,1/20/2011,620,,,,,,,,,,
0,2,2011,2/17/2011,621,,,,,,,,,,
0,5,2011,5/4/2011,622,,,,,,,,,,
0,3,2011,3/15/2011,623,,,,,,,,,,
0,3,2011,3/16/2011,624,,,,,,,,,,
0,1,2011,1/16/2011,625,,,,,,,,,,
0,1,2011,1/16/2011,626,,,,,,,,,,
0,4,2011,4/13/2011,627,,,,,,,,,,
0,1,2011,1/15/2011,628,,,,,,,,,,
2,3,2011,3/26/2011,629,,,,,,,,,,
0,8,2011,8/9/2011,630,,,,,,,,,,
0,12,2011,12/30/2011,631,,,,,,,,,,
0,3,2011,3/21/2011,632,,,,,,,,,,
0,3,2011,3/24/2011,633,,,,,,,,,,
0,3,2011,3/14/2011,634,,,,,,,,,,
0,3,2011,3/15/2011,635,,,,,,,,,,
0,2,2011,2/17/2011,636,,,,,,,,,,
0,4,2011,4/23/2011,637,,,,,,,,,,
0,5,2011,5/3/2011,638,,,,,,,,,,
0,2,2011,2/21/2011,639,,,,,,,,,,
0,5,2011,5/14/2011,640,,,,,,,,,,
0,7,2011,7/18/2011,641,,,,,,,,,,
0,3,2011,3/11/2011,642,,,,,,,,,,
0,1,2011,1/16/2011,643,,,,,,,,,,
0,4,2011,4/25/2011,644,,,,,,,,,,
0,1,2011,1/16/2011,645,,,,,,,,,,
0,1,2011,1/6/2011,646,,,,,,,,,,
0,1,2011,1/16/2011,647,,,,,,,,,,
0,5,2011,5/25/2011,648,,,,,,,,,,
0,1,2011,1/18/2011,649,,,,,,,,,,
0,4,2011,4/14/2011,650,,,,,,,,,,
0,4,2011,4/21/2011,651,,,,,,,,,,
0,4,2011,4/25/2011,652,,,,,,,,,,
0,3,2011,3/13/2011,653,,,,,,,,,,
0,7,2011,7/4/2011,654,,,,,,,,,,
0,2,2011,2/24/2011,655,,,,,,,,,,
0,7,2011,7/28/2011,656,,,,,,,,,,
0,1,2011,1/16/2011,657,,,,,,,,,,
0,5,2011,5/14/2011,658,,,,,,,,,,
0,1,2011,1/17/2011,659,,,,,,,,,,
0,5,2011,5/18/2011,660,,,,,,,,,,
0,8,2011,8/3/2011,661,,,,,,,,,,
0,11,2011,11/30/2011,662,,,,,,,,,,
0,5,2011,5/3/2011,663,,,,,,,,,,
0,3,2011,3/11/2011,664,,,,,,,,,,
0,2,2011,2/18/2011,665,,,,,,,,,,
,2,2011,2/27/2011,666,,,,,,,,,,
0,3,2011,3/18/2011,667,,,,,,,,,,
0,7,2011,7/19/2011,668,,,,,,,,,,
0,11,2011,11/15/2011,669,,,,,,,,,,
0,6,2011,6/24/2011,670,,,,,,,,,,
0,5,2011,5/18/2011,671,,,,,,,,,,
,6,2011,6/11/2011,672,,,,,,,,,,
0,5,2011,5/1/2011,673,,,,,,,,,,
0,3,2011,3/2/2011,674,,,,,,,,,,
0,3,2011,3/16/2011,675,,,,,,,,,,
0,7,2011,7/5/2011,676,,,,,,,,,,
0,2,2011,2/17/2011,677,,,,,,,,,,
0,4,2011,4/16/2011,678,,,,,,,,,,
0,7,2011,7/7/2011,679,,,,,,,,,,
0,7,2011,7/11/2011,680,,,,,,,,,,
0,3,2011,3/1/2011,681,,,,,,,,,,
0,3,2011,3/24/2011,682,,,,,,,,,,
0,4,2011,4/14/2011,683,,,,,,,,,,
0,4,2011,4/27/2011,684,,,,,,,,,,
0,3,2011,3/23/2011,685,,,,,,,,,,
0,3,2011,3/16/2011,686,,,,,,,,,,
0,1,2011,1/16/2011,687,,,,,,,,,,
0,6,2011,6/19/2011,688,,,,,,,,,,
0,9,2011,9/8/2011,689,,,,,,,,,,
0,4,2011,4/7/2011,690,,,,,,,,,,
0,5,2011,5/23/2011,691,,,,,,,,,,
0,3,2011,3/24/2011,692,,,,,,,,,,
,3,2011,3/11/2011,693,,,,,,,,,,
0,2,2011,2/25/2011,694,,,,,,,,,,
0,1,2011,1/25/2011,695,,,,,,,,,,
0,5,2011,5/22/2011,696,,,,,,,,,,
0,3,2011,3/6/2011,697,,,,,,,,,,
0,3,2011,3/8/2011,698,,,,,,,,,,
0,1,2011,1/16/2011,699,,,,,,,,,,
0,1,2011,1/27/2011,700,,,,,,,,,,
0,5,2011,5/2/2011,701,,,,,,,,,,
0,5,2011,5/3/2011,702,,,,,,,,,,
0,3,2011,3/24/2011,703,,,,,,,,,,
0,5,2011,5/10/2011,704,,,,,,,,,,
0,1,2011,1/16/2011,705,,,,,,,,,,
0,4,2011,4/1/2011,706,,,,,,,,,,
0,1,2011,1/16/2011,707,,,,,,,,,,
0,3,2011,3/1/2011,708,,,,,,,,,,
0,1,2011,1/16/2011,709,,,,,,,,,,
0,3,2011,3/12/2011,710,,,,,,,,,,
0,3,2011,3/29/2011,711,,,,,,,,,,
0,3,2011,3/16/2011,712,,,,,,,,,,
0,11,2011,11/22/2011,713,,,,,,,,,,
0,3,2011,3/24/2011,714,,,,,,,,,,
0,4,2011,4/21/2011,715,,,,,,,,,,
0,2,2011,2/28/2011,716,,,,,,,,,,
0,1,2011,1/21/2011,717,,,,,,,,,,
0,3,2011,3/8/2011,718,,,,,,,,,,
0,1,2011,1/16/2011,719,,,,,,,,,,
0,5,2011,5/21/2011,720,,,,,,,,,,
0,2,2011,2/18/2011,721,,,,,,,,,,
0,3,2011,3/20/2011,722,,,,,,,,,,
0,5,2011,5/19/2011,723,,,,,,,,,,
0,1,2011,1/16/2011,724,,,,,,,,,,
,3,2011,3/31/2011,725,,,,,,,,,,
0,1,2011,1/16/2011,726,,,,,,,,,,
0,4,2011,4/7/2011,727,,,,,,,,,,
0,3,2011,3/13/2011,728,,,,,,,,,,
0,7,2011,7/18/2011,729,,,,,,,,,,
0,12,2011,12/30/2011,730,,,,,,,,,,
0,4,2011,4/8/2011,731,,,,,,,,,,
0,3,2011,3/15/2011,732,,,,,,,,,,
0,3,2011,3/15/2011,733,,,,,,,,,,
0,1,2011,1/16/2011,734,,,,,,,,,,
0,6,2011,6/11/2011,735,,,,,,,,,,
0,2,2011,2/13/2011,736,,,,,,,,,,
0,3,2011,3/16/2011,737,,,,,,,,,,
0,2,2011,2/28/2011,738,,,,,,,,,,
0,5,2011,5/22/2011,739,,,,,,,,,,
0,5,2011,5/15/2011,740,,,,,,,,,,
0,3,2011,3/10/2011,741,,,,,,,,,,
,2,2011,2/12/2011,742,,,,,,,,,,
0,3,2011,3/29/2011,743,,,,,,,,,,
0,3,2011,3/13/2011,744,,,,,,,,,,
0,3,2011,3/20/2011,745,,,,,,,,,,
0,3,2011,3/10/2011,746,,,,,,,,,,
0,3,2011,3/24/2011,747,,,,,,,,,,
0,4,2011,4/5/2011,748,,,,,,,,,,
0,4,2011,4/4/2011,749,,,,,,,,,,
0,8,2011,8/11/2011,750,,,,,,,,,,
0,3,2011,3/18/2011,751,,,,,,,,,,
0,10,2011,10/31/2011,752,,,,,,,,,,
0,10,2011,10/8/2011,753,,,,,,,,,,
0,12,2011,12/30/2011,754,,,,,,,,,,
0,1,2011,1/17/2011,755,,,,,,,,,,
0,7,2011,7/18/2011,756,,,,,,,,,,
0,3,2011,3/24/2011,757,,,,,,,,,,
0,4,2011,4/10/2011,758,,,,,,,,,,
0,1,2011,1/13/2011,759,,,,,,,,,,
0,5,2011,5/8/2011,760,,,,,,,,,,
0,3,2011,3/20/2011,761,,,,,,,,,,
0,3,2011,3/16/2011,762,,,,,,,,,,
,1,2011,1/29/2011,763,,,,,,,,,,
0,3,2011,3/21/2011,764,,,,,,,,,,
0,3,2011,3/30/2011,765,,,,,,,,,,
0,5,2011,5/22/2011,766,,,,,,,,,,
0,11,2011,11/18/2011,767,,,,,,,,,,
0,5,2011,5/15/2011,768,,,,,,,,,,
0,11,2011,11/23/2011,769,,,,,,,,,,
0,3,2011,3/24/2011,770,,,,,,,,,,
0,4,2011,4/15/2011,771,,,,,,,,,,
0,3,2011,3/9/2011,772,,,,,,,,,,
0,7,2011,7/3/2011,773,,,,,,,,,,
0,5,2011,5/21/2011,774,,,,,,,,,,
0,1,2011,1/16/2011,775,,,,,,,,,,
0,3,2011,3/9/2011,776,,,,,,,,,,
0,3,2011,3/1/2011,777,,,,,,,,,,
0,4,2011,4/30/2011,778,,,,,,,,,,
0,1,2011,1/13/2011,779,,,,,,,,,,
0,12,2011,12/23/2011,780,,,,,,,,,,
0,1,2011,1/16/2011,781,,,,,,,,,,
0,3,2011,3/13/2011,782,,,,,,,,,,
0,3,2011,3/13/2011,783,,,,,,,,,,
0,5,2011,5/1/2011,784,,,,,,,,,,
0,1,2011,1/16/2011,785,,,,,,,,,,
0,3,2011,3/25/2011,786,,,,,,,,,,
0,1,2011,1/16/2011,787,,,,,,,,,,
0,5,2011,5/25/2011,788,,,,,,,,,,
0,3,2011,3/12/2011,789,,,,,,,,,,
0,5,2011,5/19/2011,790,,,,,,,,,,
0,8,2011,8/2/2011,791,,,,,,,,,,
0,3,2011,3/21/2011,792,,,,,,,,,,
0,5,2011,5/16/2011,793,,,,,,,,,,
0,9,2011,9/23/2011,794,,,,,,,,,,
0,3,2011,3/24/2011,795,,,,,,,,,,
0,3,2011,3/15/2011,796,,,,,,,,,,
0,4,2011,4/26/2011,797,,,,,,,,,,
0,3,2011,3/6/2011,798,,,,,,,,,,
0,3,2011,3/13/2011,799,,,,,,,,,,
0,4,2011,4/25/2011,800,,,,,,,,,,
0,7,2011,7/21/2011,801,,,,,,,,,,
0,11,2011,11/4/2011,802,,,,,,,,,,
0,3,2011,3/24/2011,803,,,,,,,,,,
0,3,2011,3/24/2011,804,,,,,,,,,,
0,5,2011,5/3/2011,805,,,,,,,,,,
0,1,2011,1/20/2011,806,,,,,,,,,,
0,5,2011,5/18/2011,807,,,,,,,,,,
0,3,2011,3/11/2011,808,,,,,,,,,,
0,7,2011,7/3/2011,809,,,,,,,,,,
0,4,2011,4/27/2011,810,,,,,,,,,,
0,1,2011,1/17/2011,811,,,,,,,,,,
0,5,2011,5/28/2011,812,,,,,,,,,,
0,2,2011,2/20/2011,813,,,,,,,,,,
0,2,2011,2/15/2011,814,,,,,,,,,,
0,4,2011,4/1/2011,815,,,,,,,,,,
0,5,2011,5/29/2011,816,,,,,,,,,,
0,7,2011,7/30/2011,817,,,,,,,,,,
0,5,2011,5/1/2011,818,,,,,,,,,,
0,12,2011,12/30/2011,819,,,,,,,,,,
0,5,2011,5/30/2011,820,,,,,,,,,,
0,5,2011,5/11/2011,821,,,,,,,,,,
,1,2011,1/15/2011,822,,,,,,,,,,
0,5,2011,5/4/2011,823,,,,,,,,,,
0,3,2011,3/13/2011,824,,,,,,,,,,
0,4,2011,4/5/2011,825,,,,,,,,,,
0,6,2011,6/28/2011,826,,,,,,,,,,
0,4,2011,4/25/2011,827,,,,,,,,,,
0,2,2011,2/28/2011,828,,,,,,,,,,
0,4,2011,4/24/2011,829,,,,,,,,,,
0,2,2011,2/25/2011,830,,,,,,,,,,
0,4,2011,4/16/2011,831,,,,,,,,,,
0,4,2011,4/21/2011,832,,,,,,,,,,
0,3,2011,3/23/2011,833,,,,,,,,,,
0,12,2011,12/30/2011,834,,,,,,,,,,
0,5,2011,5/3/2011,835,,,,,,,,,,
0,5,2011,5/18/2011,836,,,,,,,,,,
0,4,2011,4/9/2011,837,,,,,,,,,,
0,3,2011,3/9/2011,838,,,,,,,,,,
0,3,2011,3/26/2011,839,,,,,,,,,,
0,4,2011,4/24/2011,840,,,,,,,,,,
0,6,2011,6/20/2011,841,,,,,,,,,,
0,1,2011,1/13/2011,842,,,,,,,,,,
0,7,2011,7/18/2011,843,,,,,,,,,,
0,7,2011,7/3/2011,844,,,,,,,,,,
0,4,2011,4/25/2011,845,,,,,,,,,,
0,6,2011,6/5/2011,846,,,,,,,,,,
0,4,2011,4/27/2011,847,,,,,,,,,,
0,5,2011,5/12/2011,848,,,,,,,,,,
0,11,2011,11/22/2011,849,,,,,,,,,,
0,7,2011,7/10/2011,850,,,,,,,,,,
0,3,2011,3/12/2011,851,,,,,,,,,,
0,2,2011,2/28/2011,852,,,,,,,,,,
0,5,2011,5/17/2011,853,,,,,,,,,,
0,3,2011,3/13/2011,854,,,,,,,,,,
0,2,2011,2/4/2011,855,,,,,,,,,,
0,6,2011,6/10/2011,856,,,,,,,,,,
0,4,2011,4/12/2011,857,,,,,,,,,,
0,3,2011,3/16/2011,858,,,,,,,,,,
0,6,2011,6/4/2011,859,,,,,,,,,,
0,2,2011,2/26/2011,860,,,,,,,,,,
0,3,2011,3/26/2011,861,,,,,,,,,,
0,6,2011,6/27/2011,862,,,,,,,,,,
0,9,2011,9/1/2011,863,,,,,,,,,,
0,12,2011,12/30/2011,864,,,,,,,,,,
0,9,2011,9/8/2011,865,,,,,,,,,,
0,4,2011,4/28/2011,866,,,,,,,,,,
0,11,2011,11/23/2011,867,,,,,,,,,,
0,4,2011,4/24/2011,868,,,,,,,,,,
0,3,2011,3/25/2011,869,,,,,,,,,,
0,2,2011,2/25/2011,870,,,,,,,,,,
0,3,2011,3/15/2011,871,,,,,,,,,,
0,3,2011,3/24/2011,872,,,,,,,,,,
0,3,2011,3/14/2011,873,,,,,,,,,,
0,1,2011,1/21/2011,874,,,,,,,,,,
0,1,2011,1/2/2011,875,,,,,,,,,,
0,8,2011,8/8/2011,876,,,,,,,,,,
0,4,2011,4/8/2011,877,,,,,,,,,,
0,4,2011,4/27/2011,878,,,,,,,,,,
0,3,2011,3/25/2011,879,,,,,,,,,,
0,12,2011,12/1/2011,880,,,,,,,,,,
0,3,2011,3/14/2011,881,,,,,,,,,,
0,3,2011,3/6/2011,882,,,,,,,,,,
0,2,2011,2/15/2011,883,,,,,,,,,,
0,5,2011,5/13/2011,884,,,,,,,,,,
0,1,2011,1/16/2011,885,,,,,,,,,,
0,3,2011,3/24/2011,886,,,,,,,,,,
0,8,2011,8/5/2011,887,,,,,,,,,,
0,2,2011,2/4/2011,888,,,,,,,,,,
0,1,2011,1/16/2011,889,,,,,,,,,,
0,5,2011,5/11/2011,890,,,,,,,,,,
0,3,2011,3/24/2011,891,,,,,,,,,,
0,3,2011,3/27/2011,892,,,,,,,,,,
0,10,2011,10/4/2011,893,,,,,,,,,,
0,4,2011,4/25/2011,894,,,,,,,,,,
0,3,2011,3/27/2011,895,,,,,,,,,,
0,7,2011,7/25/2011,896,,,,,,,,,,
0,7,2011,7/12/2011,897,,,,,,,,,,
0,7,2011,7/5/2011,898,,,,,,,,,,
0,4,2011,4/21/2011,899,,,,,,,,,,
0,7,2011,7/7/2011,900,,,,,,,,,,
0,7,2011,7/27/2011,901,,,,,,,,,,
0,5,2011,5/11/2011,902,,,,,,,,,,
0,1,2011,1/16/2011,903,,,,,,,,,,
0,3,2011,3/24/2011,904,,,,,,,,,,
0,1,2011,1/16/2011,905,,,,,,,,,,
0,3,2011,3/13/2011,906,,,,,,,,,,
0,5,2011,5/3/2011,907,,,,,,,,,,
0,3,2011,3/15/2011,908,,,,,,,,,,
0,5,2011,5/30/2011,909,,,,,,,,,,
0,2,2011,2/15/2011,910,,,,,,,,,,
0,6,2011,6/18/2011,911,,,,,,,,,,
0,3,2011,3/24/2011,912,,,,,,,,,,
0,4,2011,4/2/2011,913,,,,,,,,,,
0,3,2011,3/27/2011,914,,,,,,,,,,
0,4,2011,4/17/2011,915,,,,,,,,,,
0,1,2011,1/17/2011,916,,,,,,,,,,
0,5,2011,5/13/2011,917,,,,,,,,,,
0,3,2011,3/21/2011,918,,,,,,,,,,
0,3,2011,3/24/2011,919,,,,,,,,,,
0,2,2011,2/15/2011,920,,,,,,,,,,
0,3,2011,3/24/2011,921,,,,,,,,,,
0,3,2011,3/14/2011,922,,,,,,,,,,
0,12,2011,12/23/2011,923,,,,,,,,,,
0,3,2011,3/20/2011,924,,,,,,,,,,
0,5,2011,5/20/2011,925,,,,,,,,,,
0,3,2011,3/14/2011,926,,,,,,,,,,
0,7,2011,7/9/2011,927,,,,,,,,,,
0,5,2011,5/11/2011,928,,,,,,,,,,
0,7,2011,7/12/2011,929,,,,,,,,,,
0,1,2011,1/13/2011,930,,,,,,,,,,
0,4,2011,4/5/2011,931,,,,,,,,,,
0,5,2011,5/30/2011,932,,,,,,,,,,
0,3,2011,3/2/2011,933,,,,,,,,,,
0,3,2011,3/24/2011,934,,,,,,,,,,
0,1,2011,1/30/2011,935,,,,,,,,,,
0,1,2011,1/16/2011,936,,,,,,,,,,
0,3,2011,3/13/2011,937,,,,,,,,,,
0,1,2011,1/17/2011,938,,,,,,,,,,
0,7,2011,7/5/2011,939,,,,,,,,,,
0,9,2011,9/13/2011,940,,,,,,,,,,
0,1,2011,1/20/2011,941,,,,,,,,,,
0,4,2011,4/25/2011,942,,,,,,,,,,
0,1,2011,1/19/2011,943,,,,,,,,,,
0,4,2011,4/6/2011,944,,,,,,,,,,
0,4,2011,4/29/2011,945,,,,,,,,,,
0,1,2011,1/16/2011,946,,,,,,,,,,
0,5,2011,5/3/2011,947,,,,,,,,,,
0,5,2011,5/18/2011,948,,,,,,,,,,
0,3,2011,3/14/2011,949,,,,,,,,,,
0,11,2011,11/21/2011,950,,,,,,,,,,
0,3,2011,3/30/2011,951,,,,,,,,,,
0,1,2011,1/16/2011,952,,,,,,,,,,
0,11,2011,11/14/2011,953,,,,,,,,,,
0,4,2011,4/16/2011,954,,,,,,,,,,
0,2,2011,2/17/2011,955,,,,,,,,,,
0,3,2011,3/4/2011,956,,,,,,,,,,
0,6,2011,6/20/2011,957,,,,,,,,,,
0,7,2011,7/17/2011,958,,,,,,,,,,
0,3,2011,3/21/2011,959,,,,,,,,,,
0,1,2011,1/17/2011,960,,,,,,,,,,
0,3,2011,3/14/2011,961,,,,,,,,,,
0,11,2011,11/12/2011,962,,,,,,,,,,
0,1,2011,1/15/2011,963,,,,,,,,,,
0,2,2011,2/28/2011,964,,,,,,,,,,
0,1,2011,1/13/2011,965,,,,,,,,,,
0,5,2011,5/18/2011,966,,,,,,,,,,
0,2,2011,2/28/2011,967,,,,,,,,,,
0,1,2011,1/16/2011,968,,,,,,,,,,
0,4,2011,4/21/2011,969,,,,,,,,,,
0,4,2011,4/19/2011,970,,,,,,,,,,
0,1,2011,1/18/2011,971,,,,,,,,,,
0,3,2011,3/24/2011,972,,,,,,,,,,
0,7,2011,7/15/2011,973,,,,,,,,,,
0,7,2011,7/14/2011,974,,,,,,,,,,
0,3,2011,3/8/2011,975,,,,,,,,,,
0,6,2011,6/28/2011,976,,,,,,,,,,
0,4,2011,4/16/2011,977,,,,,,,,,,
0,1,2011,1/6/2011,978,,,,,,,,,,
0,7,2011,7/19/2011,979,,,,,,,,,,
0,2,2011,2/28/2011,980,,,,,,,,,,
0,5,2011,5/3/2011,981,,,,,,,,,,
0,3,2011,3/10/2011,982,,,,,,,,,,
0,3,2011,3/28/2011,983,,,,,,,,,,
0,12,2011,12/30/2011,984,,,,,,,,,,
0,1,2011,1/16/2011,985,,,,,,,,,,
0,10,2011,10/14/2011,986,,,,,,,,,,
0,3,2011,3/10/2011,987,,,,,,,,,,
0,3,2011,3/28/2011,988,,,,,,,,,,
0,3,2011,3/30/2011,989,,,,,,,,,,
,3,2011,3/13/2011,990,,,,,,,,,,
0,3,2011,3/20/2011,991,,,,,,,,,,
0,1,2011,1/16/2011,992,,,,,,,,,,
0,7,2011,7/1/2011,993,,,,,,,,,,
0,1,2011,1/18/2011,994,,,,,,,,,,
0,3,2011,3/24/2011,995,,,,,,,,,,
0,3,2011,3/10/2011,996,,,,,,,,,,
0,1,2011,1/16/2011,997,,,,,,,,,,
0,7,2011,7/5/2011,998,,,,,,,,,,
0,2,2011,2/28/2011,999,,,,,,,,,,
0,5,2011,5/18/2011,1000,,,,,,,,,,
0,3,2011,3/1/2011,1001,,,,,,,,,,
0,1,2011,1/15/2011,1002,,,,,,,,,,
0,12,2011,12/28/2011,1003,,,,,,,,,,
0,5,2011,5/19/2011,1004,,,,,,,,,,
0,4,2011,4/5/2011,1005,,,,,,,,,,
0,6,2011,6/22/2011,1006,,,,,,,,,,
0,3,2011,3/10/2011,1007,,,,,,,,,,
0,1,2011,1/7/2011,1008,,,,,,,,,,
0,1,2011,1/16/2011,1009,,,,,,,,,,
0,4,2011,4/21/2011,1010,,,,,,,,,,
0,7,2011,7/13/2011,1011,,,,,,,,,,
0,3,2011,3/18/2011,1012,,,,,,,,,,
0,4,2011,4/26/2011,1013,,,,,,,,,,
0,4,2011,4/25/2011,1014,,,,,,,,,,
0,1,2011,1/11/2011,1015,,,,,,,,,,
0,7,2011,7/18/2011,1016,,,,,,,,,,
0,3,2011,3/7/2011,1017,,,,,,,,,,
0,3,2011,3/24/2011,1018,,,,,,,,,,
0,3,2011,3/10/2011,1019,,,,,,,,,,
0,3,2011,3/13/2011,1020,,,,,,,,,,
0,1,2011,1/14/2011,1021,,,,,,,,,,
0,1,2011,1/17/2011,1022,,,,,,,,,,
0,4,2011,4/25/2011,1023,,,,,,,,,,
0,5,2011,5/19/2011,1024,,,,,,,,,,
0,9,2011,9/12/2011,1025,,,,,,,,,,
0,3,2011,3/15/2011,1026,,,,,,,,,,
0,4,2011,4/25/2011,1027,,,,,,,,,,
0,2,2011,2/14/2011,1028,,,,,,,,,,
0,11,2011,11/28/2011,1029,,,,,,,,,,
0,7,2011,7/4/2011,1030,,,,,,,,,,
0,2,2011,2/28/2011,1031,,,,,,,,,,
0,5,2011,5/22/2011,1032,,,,,,,,,,
0,7,2011,7/12/2011,1033,,,,,,,,,,
0,5,2011,5/3/2011,1034,,,,,,,,,,
0,5,2011,5/5/2011,1035,,,,,,,,,,
0,2,2011,2/5/2011,1036,,,,,,,,,,
0,4,2011,4/21/2011,1037,,,,,,,,,,
0,3,2011,3/7/2011,1038,,,,,,,,,,
0,1,2011,1/21/2011,1039,,,,,,,,,,
0,1,2011,1/12/2011,1040,,,,,,,,,,
0,9,2011,9/22/2011,1041,,,,,,,,,,
0,4,2011,4/21/2011,1042,,,,,,,,,,
0,3,2011,3/10/2011,1043,,,,,,,,,,
0,3,2011,3/7/2011,1044,,,,,,,,,,
0,5,2011,5/30/2011,1045,,,,,,,,,,
0,1,2011,1/16/2011,1046,,,,,,,,,,
0,5,2011,5/8/2011,1047,,,,,,,,,,
0,6,2011,6/10/2011,1048,,,,,,,,,,
0,10,2011,10/11/2011,1049,,,,,,,,,,
0,4,2011,4/24/2011,1050,,,,,,,,,,
0,3,2011,3/16/2011,1051,,,,,,,,,,
0,5,2011,5/13/2011,1052,,,,,,,,,,
0,4,2011,4/23/2011,1053,,,,,,,,,,
0,3,2011,3/20/2011,1054,,,,,,,,,,
0,8,2011,8/15/2011,1055,,,,,,,,,,
0,6,2011,6/10/2011,1056,,,,,,,,,,
0,1,2011,1/16/2011,1057,,,,,,,,,,
0,12,2011,12/27/2011,1058,,,,,,,,,,
0,3,2011,3/24/2011,1059,,,,,,,,,,
0,5,2011,5/18/2011,1060,,,,,,,,,,
0,1,2011,1/16/2011,1061,,,,,,,,,,
0,3,2011,3/24/2011,1062,,,,,,,,,,
