Month,Year,ev_date,State,latitude,longitude,Landslide Count,Years
1,2008,1/7/2008 0:00,California,32.5755,-116.9016,,
12,2008,12/15/2008 0:00,California,34.0814,-119.0308,,
6,2008,6/29/2008 0:00,New Jersey,40.78,-74.27,,
4,2008,4/25/2008 0:00,Minnesota,44.0344,-91.6396,,
6,2008,6/20/2008 0:00,Arkansas,35.7885,-92.9331,,
8,2008,8/28/2008 0:00,North Carolina,35.4437,-82.2585,,
8,2008,8/7/2008 0:00,California,33.047,-116.833,,
7,2008,7/5/2008 0:00,New Mexico,35.46,-105.19,,
11,2008,11/20/2008 0:00,Oregon,44.772,-122.202,,
8,2008,8/6/2008 0:00,New Hampshire,44.146,-71.9677,,
8,2008,8/19/2008 0:00,Washington,48.3455,-120.0477,,
6,2008,6/16/2008 0:00,New York,41.942,-75.2291,,
7,2008,7/13/2008 0:00,Colorado,37.25,-107.87,,
3,2008,3/10/2008 0:00,Pennsylvania,40.4041,-79.7822,,
5,2008,5/11/2008 5:45,Maryland,38.8162,-76.9216,,
8,2008,8/26/2008 0:00,North Carolina,35.4213,-82.2,,
11,2008,11/12/2008 0:00,Oregon,45.4668,-123.748,,
5,2008,5/9/2008 0:00,Virginia,36.6619,-79.7199,,
5,2008,5/22/2008 0:00,California,33.7112,-117.6428,,
4,2008,4/8/2008 0:00,Pennsylvania,40.5531,-80.0726,,
5,2008,5/28/2008 0:00,Colorado,39.3707,-106.7839,,
8,2008,8/24/2008 0:00,Colorado,39.2228,-105.1865,,
1,2008,1/31/2008 0:00,Oregon,44.0302,-123.679,,
6,2008,6/7/2008 0:00,Indiana,39.4279,-86.4209,,
7,2008,7/12/2008 0:00,California,36.8,-118.2,,
8,2008,8/7/2008 0:00,Colorado,39.2,-107.23,,
5,2008,5/23/2008 0:00,California,34.1742,-118.0459,,
1,2008,1/6/2008 0:00,California,32.8008,-117.207,,
7,2008,7/22/2008 0:00,Idaho,44.93,-115.72,,
7,2008,7/15/2008 0:00,California,35.6,-118.46,,
5,2008,5/20/2008 0:00,Kentucky,39.0447,-84.5289,,
12,2008,12/16/2008 0:00,California,34.453,-119.653,,
12,2008,12/24/2008 0:00,California,39.87,-121.611,,
2,2008,2/9/2008 0:00,Pennsylvania,40.4934,-79.9458,,
3,2008,3/28/2008 0:00,Ohio,39.1072,-84.5657,,
7,2008,7/22/2008 0:00,Idaho,44.98,-114.06,,
11,2009,11/16/2009 13:00,Washington,48.3486,-124.5316,,
1,2009,1/3/2009 0:00,Oregon,45.521,-122.67,,
5,2009,5/11/2009 0:00,Kentucky,37.4072,-82.4322,,
11,2009,11/16/2009 0:00,Washington,47.2841,-122.6522,,
9,2009,9/21/2009 0:00,Alabama,32.804,-88.3108,,
11,2009,11/20/2009 0:00,Washington,48.1181,-123.4307,,
12,2009,12/18/2009 0:00,Mississippi,31.1345,-89.2276,,
11,2009,11/12/2009 0:00,California,34.2236,-118.1964,,
1,2009,1/7/2009 1:41,North Carolina,35.507,-83.071,,
1,2009,1/7/2009 0:00,Washington,47.432,-122.334,,
10,2009,10/16/2009 0:00,California,39.55,-123.4246,,
11,2009,11/18/2009 0:00,Washington,47.2846,-122.5562,,
3,2009,3/10/2009 15:00,Pennsylvania,40.4427,-80.0342,,
4,2009,4/15/2009 8:50,Washington,47.4412,-121.9607,,
6,2009,6/18/2009 23:00,Utah,40.53,-111.87,,
10,2009,10/12/2009 0:00,Texas,32.5383,-96.9854,,
9,2009,9/21/2009 0:00,Georgia,33.8232,-84.1569,,
9,2009,9/20/2009 0:00,Georgia,34.6768,-83.9076,,
11,2009,11/27/2009 0:00,Washington,48.6041,-122.4294,,
10,2009,10/31/2009 0:00,Oregon,46.1131,-123.2331,,
8,2009,8/15/2009 0:00,Washington,48.0265,-123.4048,,
4,2009,4/7/2009 15:00,California,36.2476,-121.7817,,
11,2009,11/17/2009 0:00,Washington,47.7628,-122.3793,,
1,2009,1/1/2009 22:24,Oregon,45.377,-122.0704,,
1,2009,1/7/2009 0:00,Washington,48.72,-122.2,,
6,2009,6/19/2009 0:00,North Carolina,35.91,-81.41,,
4,2009,4/20/2009 23:25,Colorado,40.1162,-105.3896,,
12,2009,12/9/2009 0:00,Tennessee,35.0672,-85.3697,,
